犬が、居ぬ。,2.0,2,犬 が 居 ぬ,イヌガイヌ
『柴犬は、絶対しばけん !! 』,2.0,2,柴犬 は 絶対 しば けん,シバイヌワゼッタイシバケン
ネコが、寝込んだ！,2.6,3,ネコ が 寝込ん だ,ネコガネコンダ
熊を、かくまう！,2.5,2,熊 を かくまう,クマオカクマウ
猿が、去る。,1.0,1,猿 が 去る,サルガサル
白鳥が吐く、腸 !!,2.0,3,白鳥 が 吐く 腸,ハクチョウガハクチョウ
『このワイヤーは、卑猥やー !! 』,2.0,2,この ワイヤー は 卑猥 や ー,コノワイヤーワヒワイヤー
軍人さんが、ヒゲ剃るジャー !!（soldier）,3.0,4,軍人 さん が ヒゲ 剃る ジャー soldier,グンジンサンガヒゲソルジャーsoldier
梱包図を、compose !!（構図する）,3.0,2,梱包 図 を compose 構図 する,コンポウズオcomposeコウズスル
援助交際でエンジョイ！,1.5,2,援助 交際 で エンジョイ,エンジョコウサイデエンジョイ
捺印は、ナッツイン !!,4.0,1,捺印 は ナッツ イン,ナツインワナッツイン
寺院で買った、ジーンズ !!,3.0,4,寺院 で 買っ た ジーンズ,ジインデカッタジーンズ
18禁の、18金ネックレス !!,1.0,1,18 禁 の 18 金 ネックレス,18キンノ18キンネックレス
ニット帽で、日当10000円。,3.0,1,ニット 帽 で 日当 10000 円,ニットボウデニットウ10000エン
このミカンは、まだ未完成 !!,4.0,2,この ミカン は まだ 未 完成,コノミカンワマダミカンセイ
このキノコは、生き残りかっ !!,1.0,1,この キノコ は 生き残り かっ,コノキノコワイキノコリカッ
栗、喰いまくり!!,1.5,2,栗 喰い まくり,クリクイマクリ
レバー食べれば ? ,1.5,2,レバー 食べれ ば,レバータベレバ
皿うどんをかっさらう、ドン。,1.0,1,皿 うどん を かっ さらう ドン,サラウドンオカッサラウドン
ソーセージを食う、双生児 !!,2.0,1,ソーセージ を 食う 双生児,ソーセージオクウソウセイジ
ぜんざいを、全財産で買う !!,2.0,1,ぜんざい を 全 財産 で 買う,ゼンザイオゼンザイサンデカウ
納豆食うのは、納得いかん !!,1.5,2,納豆 食う の は 納得 いかん,ナットウクウノワナットクイカン
うおーっ、鯛が食べたい !!,1.0,1,う お ー っ 鯛 が 食べ たい,ウオーッタイガタベタイ
仁義無きジンギスカン !!,3.0,3,仁義 無き ジンギスカン,ジンギナキジンギスカン
スイカは安いか ? ,1.0,1,スイカ は 安い か,スイカワヤスイカ
おにぎりで、鬼斬り ！！,2.0,2,おにぎり で 鬼 斬り,オニギリデオニキリ
豆は、箸ではつまめん。,1.0,1,豆 は 箸 で は つまめ ん,マメワハシデワツマメン
ハッカが、自然発火 !!,3.0,1,ハッカ が 自然 発火,ハッカガシゼンハッカ
カラメルソースを絡める,2.0,1,カラメル ソース を 絡める,カラメルソースオカラメル
重水素入りジュース。,1.0,1,重水素 入り ジュース,ジュウスイソイリジュース
ワインが怖いん？,3.0,2,ワイン が 怖い ん,ワインガコワイン
ビールを頭から、浴び～る !!,4.0,1,ビール を 頭 から 浴びる,ビールオアタマカラアビル
利休も、たまにはリキュール！,3.6,3,利休 も たま に は リキュール,リキュウモタマニワリキュール
Ａ：『あそこの料理屋、魚食べ放題らしいぜ。』Ｂ：『フッ、まさかな・・・。』,3.3,3,Ａ ： あそこ の 料理 屋 魚 食べ 放題 らしい ぜ Ｂ ： フッ まさか な,エイ：アソコノリョウリヤギョタベホウダイラシイゼビー：フッマサカナ
食堂の常連客：『あれっ ? タカナピラフなんて、あったかなぁ ? 』,3.0,1,食堂 の 常連 客 ： あれ っ タカナ ピラフ なんて あっ た か なぁ,ショクドウノジョウレンキャク：アレッタカナピラフナンテアッタカナァ
女子高生Ａ：『朝食って、これだけ？』女子高生Ｂ：『超～ショック !! 』,3.3,6,女子高 生 Ａ ： 朝 食っ て これ だけ 女子高 生 Ｂ ： 超 ショック,ジョシコウセイエイ：アサクッテコレダケジョシコウセイビー：チョウショック
イランは、手に入らん !!,1.0,1,イラン は 手 に 入ら ん,イランワテニハイラン
インド製のブラインド !!,2.5,2,インド 製 の ブラインド,インドセイノブラインド
オランダには誰もおらんだ !!,3.0,2,オランダ に は 誰 も おら ん だ,オランダニワダレモオランダ
カナダ人の、酒のサカナだ !!,1.0,1,カナダ 人 の 酒 の サカナ だ,カナダジンノサケノサカナダ
キューバを、緊急爆破？！,2.5,2,キューバ を 緊急 爆破,キューバオキンキュウバクハ
Ａ：『タイに行きたい !! 』Ｂ：『・・・痛い目に遭うぜ !! 』,1.0,1,Ａ ： タイ に 行き たい Ｂ ： 痛い 目 に 遭う ぜ,エイ：タイニイキタイビー：イタイメニアウゼ
このチャイナドレス、ちょっとちっちゃいな。,3.6,5,この チャイナ ドレス ちょっと ちっちゃい な,コノチャイナドレスチョットチッチャイナ
朝鮮旅行に、初挑戦 !!,1.0,1,朝鮮 旅行 に 初 挑戦,チョウセンリョコウニハツチョウセン
このドイツ人と、同一人物！,1.0,1,この ドイツ 人 と 同 一人物,コノドイツジントドウイチジンブツ
トルコの、スペースシャトル工場 !!,1.0,1,トルコ の スペースシャトル 工場,トルコノスペースシャトルコウジョウ
ナイジェリアは、無いじぇりあ !!,1.0,1,ナイジェリア は 無い じ ぇりあ,ナイジェリアワナイジぇりあ
ブラジル特製の、油汁 !!,1.0,1,ブラジル 特製 の 油 汁,ブラジルトクセイノアブラジル
フランスでは、雪は降らんス !!,2.0,2,フランス で は 雪 は 降ら ん ス,フランスデワユキワフランス
メキシコ人の、メッキ志向 !!,4.0,2,メキシコ 人 の メッキ 志向,メキシコジンノメッキシコウ
ロシアに、ろ紙在り !! ,2.5,2,ロシア に ろ紙 在り,ロシアニロシアリ
Ａ：『あいつ、パリに行ったらしいぜ。』Ｂ：『やっぱり、そうか・・・。』,2.0,1,Ａ ： あいつ パリ に 行っ た らしい ぜ Ｂ ： やっぱり そう か,エイ：アイツパリニイッタラシイゼビー：ヤッパリソウカ
イヌイットのペットは、犬1頭。,3.8,8,イヌイット の ペット は 犬 1 頭,イヌイットノペットワイヌ1トウ
Ａ：『東南アジアでは、盗難に注意！』Ｂ：『えっ？　それって、本当なん？』,1.0,2,Ａ ： 東南アジア で は 盗難 に 注意 Ｂ ： えっ 　 それ って 本当 な ん,エイ：トウナンアジアデワトウナンニチュウイビー：エッ　ソレッテホントウナン
『関税は、払わなあかんぜー !! 』,2.0,1,関税 は 払わ な あか ん ぜ ー,カンゼイワハラワナアカンゼー
『南海電車は、何か、いいぃ～～っ !! 』,3.6,8,南海 電車 は 何 か いい ぃっ,ナンカイデンシャワナニカイイぃっ
『釧路に行くなら、早くしろ !! 』,4.0,1,釧路 に 行く なら 早く しろ,クシロニイクナラハヤクシロ
『秋田は、もう飽きた !! 』,1.0,2,秋田 は もう 飽き た,アキタワモウアキタ
『福島で、降伏します・・・。』,2.0,1,福島 で 降伏 し ます,フクシマデゴウブクシマス
千葉で、落ち葉拾い。,2.0,1,千葉 で 落ち葉 拾い,チバデオチバヒロイ
奈良人の、歯並び。,3.0,3,奈良 人 の 歯並び,ナラジンノハナラビ
島根の年増姉さん。,2.0,1,島根 の 年増 姉さん,シマネノトシマネエサン
『軟骨、何個ついてる・・・ ?! 』,3.0,3,軟骨 何 個 ついてる,ナンコツナンコツイテル
内臓が、無いぞう！,2.0,2,内臓 が 無い ぞう,ナイゾウガナイゾウ
ブスのギブス！,3.0,1,ブス の ギブス,ブスノギブス
心肺機能が、心配だ・・・。,3.0,1,心肺 機能 が 心配 だ,シンパイキノウガシンパイダ
板東英二の、バンドエイジ。,4.0,1,板東 英二 の バンドエイジ,バンドウエイジノバンドエイジ
ドナーが見つかればいいけどなぁ・・・。,3.0,1,ドナー が 見つかれ ば いい けど なぁ,ドナーガミツカレバイイケドナァ
湿布を貼り合う、フレンドシップ。,4.0,1,湿布 を 貼り 合う フレンドシップ,シップオハリアウフレンドシップ
『君、内科へ行かないか ?! 』,1.0,1,君 内科 へ 行か ない か,キミナイカヘイカナイカ
